topic_number,title,hook,video_prompt,on_screen_bullets,image_url,hashtags,caption,image_credit,image_source
1,The Enlightenment,Reason changed the world forever.,"Create a 30-second history short about The Enlightenment. Hook: An intellectual movement that reshaped politics and science. Cover: Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience. Enlightenment thinkers placed reason above superstition in politics, science, and daily life. Enlightenment ideals inspired revolutions in America, France, and beyond. Enlightenment philosophers championed free speech, religious tolerance, and individual rights. The Enlightenment peaked in 18th-century Europe and reshaped governments on both sides of the Atlantic. Salons and coffeehouses spread radical new ideas about liberty, science, and human rights. Enlightenment thinkers challenged absolute monarchy and helped inspire modern constitutional democracy.","Voltaire, Locke, and Rousseau challenged the authority of kings and churches across Europe. | The Encyclopédie cataloged human knowledge and spread Enlightenment ideas to a wide audience. | Enlightenment thinkers placed reason above superstition in politics, science, and daily life. | Enlightenment ideals inspired revolutions in America, France, and beyond. | Enlightenment philosophers championed free speech, religious tolerance, and individual rights. | The Enlightenment peaked in 18th-century Europe and reshaped governments on both sides of the Atlantic. | Salons and coffeehouses spread radical new ideas about liberty, science, and human rights. | Enlightenment thinkers challenged absolute monarchy and helped inspire modern constitutional democracy. | The Age of Enlightenment was a period of intellectual and cultural flourishing in Europe and Western civilization. | Contemporary reports still describe The Enlightenment. | Later histories kept returning to The Enlightenment. | Surviving photographs still illustrate The Enlightenment.",/images/catalog/001-the-enlightenment.jpg,#HistoryTok #Enlightenment #Philosophy #DidYouKnow,The Age of Reason changed everything. Voltaire. Locke. Rousseau. They didn't just think — they rewrote the rules. #HistoryTok #Enlightenment #Philosophy #DidYouKnow,Raphael · Public domain,https://commons.wikimedia.org/wiki/File:The_School_of_Athens_by_Raphael.jpg
239,Sherman's March to the Sea,Total WAR. Georgia burned.,"Create a 30-second vertical history short about Sherman's March to the Sea. Hook: Total WAR. Georgia burned. Cover: Union General Sherman marched November-December 1864 — a key part of the story of Sherman's March to the Sea. 60-mile wide path of destruction to Savannah — a key part of the story of Sherman's March to the Sea. Total war strategy destroyed infrastructure — a key part of the story of Sherman's March to the Sea. Aimed to break Confederate will to fight — a key part of the story of Sherman's March to the Sea. Controversial but effective — a key part of the story of Sherman's March to the Sea. 60 miles wide. Everything burned. The events surrounding Sherman's March to the Sea reveal how quickly history can turn on a single decision. From classrooms to documentaries, Sherman's March to the Sea remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Union General Sherman marched November-December 1864. | 60-mile wide path of destruction to Savannah. | Total war strategy destroyed infrastructure. | Aimed to break Confederate will to fight. | 60 miles wide. Everything burned. | Sherman's decision to operate deep within enemy territory without supply lines was unusual for its time. | Sherman's March to the Sea is usually dated to 1864. | Contemporary reports still describe Sherman's March to the Sea. | Later histories kept returning to Sherman's March to the Sea. | Surviving photographs still illustrate Sherman's March to the Sea. | Standard world-history surveys still include Sherman's March to the Sea. | The public record of Sherman's March to the Sea is still being argued over.,/images/catalog/239-sherman-s-march-to-the-sea.jpg,#Sherman #CivilWar #TotalWar #HistoryTok,60 miles wide. Everything burned. #Sherman #CivilWar #TotalWar #HistoryTok,F. O. C. Darley / Alexander Hay Ritchie / Adam Cuerden · Public domain,https://commons.wikimedia.org/wiki/File:F.O.C._Darley_and_Alexander_Hay_Ritchie_-_Sherman%27s_March_to_the_Sea.jpg
240,Battle of Little Bighorn,Custer's last STAND.,"Create a 30-second vertical history short about Battle of Little Bighorn. Hook: Custer's last STAND. Cover: June 25-26 1876 Montana Territory — a key part of the story of Battle of Little Bighorn. Lakota and Cheyenne defeated Custer's 7th Cavalry — a key part of the story of Battle of Little Bighorn. Custer and all 210 men killed — a key part of the story of Battle of Little Bighorn. Greatest Native American victory over US Army — a key part of the story of Battle of Little Bighorn. Led to intensified campaigns against Plains tribes — a key part of the story of Battle of Little Bighorn. Custer's last stand. Native victory. The outcome of Battle of Little Bighorn reshaped borders, rulers, and the balance of power. Military academies and historians still analyze the tactics and decisions of Battle of Little Bighorn. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","June 25-26 1876 Montana Territory. | Lakota and Cheyenne defeated Custer's 7th Cavalry. | Custer and all 210 men was killed. | Greatest Native American victory over US Army. | Led to intensified campaigns against Plains tribes. | Custer's last stand. Native victory. | The outcome of Battle of Little Bighorn reshaped borders, rulers, and the balance of power. | Military academies and historians still analyze the tactics and decisions of Battle of Little Bighorn. | The battle, which resulted in the defeat of U.S. forces was the most significant action of the Great Sioux War of 1876. | Already in 1873, Crow chief Blackfoot had called for U.S. military actions against the native intruders. | Most battles in the Great Sioux War, including the Battle of the Little Bighorn were on lands those natives had taken from other tribes since 1851. | The Lakota were there without consent from the local Crow tribe, which had a treaty claim on the area.",/images/catalog/240-battle-of-little-bighorn.jpg,#LittleBighorn #NativeAmerican #AmericanHistory #HistoryTok,Custer's last stand. Native victory. #LittleBighorn #NativeAmerican #AmericanHistory #HistoryTok,Charles Marion Russell · Public domain,https://commons.wikimedia.org/wiki/File:Charles_Marion_Russell_-_The_Custer_Fight_%281903%29.jpg
241,Wounded Knee Massacre,300 killed. Ghost Dance ENDED.,"Create a 30-second vertical history short about Wounded Knee Massacre. Hook: 300 killed. Ghost Dance ENDED. Cover: December 29 1890 South Dakota — a key part of the story of Wounded Knee Massacre. US cavalry killed 300 Lakota men women children. Last major conflict of Indian Wars — a key part of the story of Wounded Knee Massacre. Occurred during Ghost Dance religious movement — a key part of the story of Wounded Knee Massacre. Medals of Honor awarded to soldiers later questioned. 300 unarmed. One massacre. Shame. The events surrounding Wounded Knee Massacre reveal how quickly history can turn on a single decision. From classrooms to documentaries, Wounded Knee Massacre remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","December 29, 1890 South Dakota. | US cavalry killed 300 Lakota men women children. | Last major conflict of Indian Wars. | Occurred during Ghost Dance religious movement. | Medals of Honor awarded to soldiers later questioned. | The Wounded Knee Massacre was an 1890 armed conflict between Native Americans and the United States Army. | Between 250 and 300 Lakota people were killed, and 51 were wounded. | Twenty-five U.S. soldiers were killed and 39 were wounded. | Nineteen soldiers were awarded the Medal of Honor specifically for Wounded Knee, and 31 overall for the campaign. | It was part of the U.S. Army’s Pine Ridge Campaign. | Wounded Knee Massacre is usually dated to 1890. | Contemporary reports still describe Wounded Knee Massacre.",/images/catalog/241-wounded-knee-massacre.jpg,#WoundedKnee #NativeAmerican #AmericanHistory #HistoryMatters,300 unarmed. One massacre. Shame. #WoundedKnee #NativeAmerican #AmericanHistory #HistoryMatters,Northwestern Photo Co. · Public domain,https://commons.wikimedia.org/wiki/File:Soldiers_at_a_burial_for_the_dead_at_Wounded_Knee%2C_South_Dakota%2C_c._1891.jpg
242,Chernobyl Disaster,"One mistake. 4,000 square miles POISONED.","Create a 30-second vertical history short about Chernobyl Disaster. Hook: One mistake. 4,000 square miles POISONED. Cover: Reactor 4 exploded April 26 1986 Ukraine — a key part of the story of Chernobyl Disaster. Worst nuclear disaster in history — a key part of the story of Chernobyl Disaster. Exclusion zone still uninhabitable today — a key part of the story of Chernobyl Disaster. Firefighters died of radiation within weeks — a key part of the story of Chernobyl Disaster. Changed nuclear safety worldwide — a key part of the story of Chernobyl Disaster. One mistake. A zone poisoned forever. The events surrounding Chernobyl Disaster reveal how quickly history can turn on a single decision. From classrooms to documentaries, Chernobyl Disaster remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Reactor 4 exploded April 26, 1986 Ukraine. | Worst nuclear disaster in history. | Exclusion zone still uninhabitable today. | Firefighters died of radiation within weeks. | Changed nuclear safety worldwide. | One mistake. A zone poisoned forever. | This was later expanded to 30 kilometres, resulting in the evacuation of approximately 68,000 more people. | This was followed by a reactor core fire that spread radioactive contaminants across the Soviet Union and Europe. | It remains the worst nuclear disaster and the most expensive disaster in history, with an estimated cost of US$700 billion. | The disaster occurred during a test to simulate the cooling of the reactor during a serious accident in blackout conditions. | The reactor components ruptured and lost coolant, and the resulting steam explosions and meltdown destroyed the reactor building. | The government did not publicly acknowledge the disaster until two days after the explosion, when elevated radiation levels were detected in Sweden.",/images/catalog/242-chernobyl-disaster.jpg,#Chernobyl #NuclearDisaster #Ukraine #HistoryTok,One mistake. A zone poisoned forever. #Chernobyl #NuclearDisaster #Ukraine #HistoryTok,IAEA Imagebank · CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:IAEA_02790015_%285613115146%29.jpg
243,Fukushima Nuclear Disaster,A wave. Three meltdowns.,"Create a 30-second vertical history short about Fukushima Nuclear Disaster. Hook: A wave. Three meltdowns. Cover: March 11 2011 tsunami hit Fukushima Daiichi — a key part of the story of Fukushima Nuclear Disaster. Three reactors melted down — a key part of the story of Fukushima Nuclear Disaster. 160,000 people evacuated permanently — a key part of the story of Fukushima Nuclear Disaster. Worst nuclear disaster since Chernobyl — a key part of the story of Fukushima Nuclear Disaster. Japan still dealing with contaminated water — a key part of the story of Fukushima Nuclear Disaster. A tsunami. Three meltdowns. A nation changed. The events surrounding Fukushima Nuclear Disaster reveal how quickly history can turn on a single decision. From classrooms to documentaries, Fukushima Nuclear Disaster remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","March 11, 2011 tsunami hit Fukushima Daiichi. | 160,000 people evacuated permanently. | Worst nuclear disaster since Chernobyl. | Japan still dealing with contaminated water. | The direct cause was the Tōhoku earthquake and tsunami. | Six other people have been reported as having developed cancer or leukemia. | It is regarded by the United Nations Scientific Committee on the Effects of Atomic Radiation as the worst nuclear incident since the Chernobyl disaster. | Insurance compensation was paid for one death from lung cancer, but this does not prove a causal relationship between radiation and the cancer. | Fukushima Nuclear Disaster is usually dated to 2011. | Contemporary reports still describe Fukushima Nuclear Disaster. | Later histories kept returning to Fukushima Nuclear Disaster. | Surviving photographs still illustrate Fukushima Nuclear Disaster.",/images/catalog/243-fukushima-nuclear-disaster.jpg,#Fukushima #NuclearDisaster #Japan #HistoryTok,A tsunami. Three meltdowns. A nation changed. #Fukushima #NuclearDisaster #Japan #HistoryTok,Digital Globe · CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Fukushima_I_by_Digital_Globe.jpg
244,Bhopal Gas Tragedy,"Midnight. 3,000 DEAD in hours.","Create a 30-second vertical history short about Bhopal Gas Tragedy. Hook: Midnight. 3,000 DEAD in hours. Cover: Union Carbide pesticide plant leaked December 1984 — a key part of the story of Bhopal Gas Tragedy. Methyl isocyanate gas killed 3,000 instantly — a key part of the story of Bhopal Gas Tragedy. Estimated 15,000-20,000 total deaths — a key part of the story of Bhopal Gas Tragedy. Worst industrial disaster in history — a key part of the story of Bhopal Gas Tragedy. Site still contaminated decades later — a key part of the story of Bhopal Gas Tragedy. 3,000 dead in one night. Corporate crime. The events surrounding Bhopal Gas Tragedy reveal how quickly history can turn on a single decision. From classrooms to documentaries, Bhopal Gas Tragedy remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Union Carbide pesticide plant leaked December 1984. | Methyl isocyanate gas killed 3,000 instantly. | Estimated 15,000-20,000 total deaths. | Worst industrial disaster in history. | Site still contaminated decades later. | 3,000 dead in one night. Corporate crime. | Others estimate that 8,000 died within two weeks of the incident occurring, and another 8,000 or more died from gas-related diseases. | Bhopal Gas Tragedy is usually dated to 1984. | Contemporary reports still describe Bhopal Gas Tragedy. | Later histories kept returning to Bhopal Gas Tragedy. | Surviving photographs still illustrate Bhopal Gas Tragedy. | Standard world-history surveys still include Bhopal Gas Tragedy.",/images/catalog/244-bhopal-gas-tragedy.jpg,#Bhopal #IndustrialDisaster #India #HistoryTok,"3,000 dead in one night. Corporate crime. #Bhopal #IndustrialDisaster #India #HistoryTok","Bhopal Medical Appeal, Martin Stott · CC BY-SA 2.0",https://commons.wikimedia.org/wiki/File:Union_Carbide_pesticide_factory%2C_Bhopal%2C_India%2C_1985.jpg
245,Hindenburg Disaster,Oh the HUMANITY.,"Create a 30-second vertical history short about Hindenburg Disaster. Hook: Oh the HUMANITY. Cover: German airship exploded May 6 1937 New Jersey. 36 of 97 aboard died — a key part of the story of Hindenburg Disaster. Herbert Morrison's radio cry immortalized — a key part of the story of Hindenburg Disaster. Ended era of passenger airship travel — a key part of the story of Hindenburg Disaster. Cause still debated hydrogen or sabotage — a key part of the story of Hindenburg Disaster. Oh the humanity. Airship era ended. The events surrounding Hindenburg Disaster reveal how quickly history can turn on a single decision. From classrooms to documentaries, Hindenburg Disaster remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","German airship exploded May 6, 1937 New Jersey. | 36 of 97 aboard died. | Herbert Morrison's radio cry immortalized. | Ended era of passenger airship travel. | Cause still debated hydrogen or sabotage. | Oh the humanity. Airship era ended. | A variety of theories have been put forward for both the cause of ignition and the initial fuel for the ensuing fire. | Filled with hydrogen, it caught fire and was destroyed during its attempt to dock with its mooring mast at Naval Air Station Lakehurst. | The disaster was the subject of newsreel coverage, photographs and Herbert Morrison's recorded radio eyewitness reports from the landing field. | Hindenburg Disaster is usually dated to 1937. | Contemporary reports still describe Hindenburg Disaster. | Later histories kept returning to Hindenburg Disaster.",/images/catalog/245-hindenburg-disaster.jpg,#Hindenburg #AviationDisaster #1937 #HistoryTok,Oh the humanity. Airship era ended. #Hindenburg #AviationDisaster #1937 #HistoryTok,Sam Shere · Public domain,https://commons.wikimedia.org/wiki/File:Hindenburg_disaster.jpg
246,Challenger Space Shuttle,73 seconds. School children WATCHED.,"Create a 30-second vertical history short about Challenger Space Shuttle. Hook: 73 seconds. School children WATCHED. Cover: Exploded January 28 1986 killing all 7 crew. Millions watched live including schoolchildren — a key part of the story of Challenger Space Shuttle. Teacher Christa McAuliffe was aboard — a key part of the story of Challenger Space Shuttle. O-ring failure in cold weather caused disaster — a key part of the story of Challenger Space Shuttle. Shuttle program paused 32 months — a key part of the story of Challenger Space Shuttle. 73 seconds. Children watched. America wept. The events surrounding Challenger Space Shuttle reveal how quickly history can turn on a single decision. From classrooms to documentaries, Challenger Space Shuttle remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Exploded January 28, 1986 killing all 7 crew. | Millions watched live including schoolchildren. | Teacher Christa McAuliffe was aboard. | O-ring failure in cold weather caused disaster. | Shuttle program paused 32 months. | It was destroyed in January 1986 soon after launch in a disaster that killed all seven crewmembers aboard. | Space Shuttle Challenger was a Space Shuttle orbiter manufactured by Rockwell International and operated by NASA. | Initially manufactured as a test article not intended for spaceflight, it was used for ground testing of the Space Shuttle orbiter's structural design. | Challenger Space Shuttle is usually dated to 1986. | Contemporary reports still describe Challenger Space Shuttle. | Later histories kept returning to Challenger Space Shuttle. | Surviving photographs still illustrate Challenger Space Shuttle.",/images/catalog/246-challenger-space-shuttle.jpg,#Challenger #SpaceDisaster #NASA #HistoryTok,73 seconds. Children watched. America wept. #Challenger #SpaceDisaster #NASA #HistoryTok,Kennedy Space Center · Public domain,https://commons.wikimedia.org/wiki/File:Challenger_explosion.jpg
247,Columbia Space Shuttle,Foam. 7 DEAD.,"Create a 30-second vertical history short about Columbia Space Shuttle. Hook: Foam. 7 DEAD. Cover: Disintegrated on reentry February 1 2003 — a key part of the story of Columbia Space Shuttle. All 7 crew killed including first Israeli astronaut. Foam strike damaged wing during launch — a key part of the story of Columbia Space Shuttle. NASA knew of damage but underestimated risk — a key part of the story of Columbia Space Shuttle. End of space shuttle program accelerated — a key part of the story of Columbia Space Shuttle. A piece of foam. Seven lives. The events surrounding Columbia Space Shuttle reveal how quickly history can turn on a single decision. From classrooms to documentaries, Columbia Space Shuttle remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Disintegrated on reentry February 1, 2003. | All 7 crew killed including first Israeli astronaut. | Foam strike damaged wing during launch. | NASA knew of damage but underestimated risk. | End of space shuttle program accelerated. | A piece of foam. Seven lives. | Space Shuttle Columbia was a Space Shuttle orbiter manufactured by Rockwell International and operated by NASA. | Columbia Space Shuttle is usually dated to 2003. | Contemporary reports still describe Columbia Space Shuttle. | Later histories kept returning to Columbia Space Shuttle. | Surviving photographs still illustrate Columbia Space Shuttle. | Standard world-history surveys still include Columbia Space Shuttle.",/images/catalog/247-columbia-space-shuttle.jpg,#Columbia #SpaceDisaster #NASA #HistoryTok,A piece of foam. Seven lives. #Columbia #SpaceDisaster #NASA #HistoryTok,NASA · Public domain,https://commons.wikimedia.org/wiki/File:Space_Shuttle_Columbia_lands_following_STS-62_on_18_March_1994._%28cropped%29.jpg
248,San Francisco Earthquake 1906,3 minutes. City on FIRE.,"Create a 30-second vertical history short about San Francisco Earthquake 1906. Hook: 3 minutes. City on FIRE. Cover: Magnitude 7.9 earthquake April 18 1906 — a key part of the story of San Francisco Earthquake 1906. Fires burned for three days after quake — a key part of the story of San Francisco Earthquake 1906. Estimated 3,000 deaths 80 percent of city destroyed. Army dynamited buildings to stop fire spread — a key part of the story of San Francisco Earthquake 1906. Led to modern earthquake building codes — a key part of the story of San Francisco Earthquake 1906. Three minutes. Three days of fire. The events surrounding San Francisco Earthquake 1906 reveal how quickly history can turn on a single decision. From classrooms to documentaries, San Francisco Earthquake 1906 remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Magnitude 7.9 earthquake April 18, 1906. | Fires burned for three days after quake. | Estimated 3,000 deaths 80 percent of city destroyed. | Army dynamited buildings to stop fire spread. | Led to modern earthquake building codes. | Three minutes. Three days of fire. | More than 3,000 people died and over 80% of the city was destroyed. | The event is remembered as the deadliest earthquake in the history of the United States. | The strike-slip fault is characterized by mainly lateral motion in a dextral sense, where the western plate moves northward relative to the eastern plate. | In 1856, San Francisco became a consolidated city-county. | Prior to European settlement, San Francisco was inhabited by the Yelamu Ohlone. | Among U.S. cities with a population of 200,000 or more, San Francisco is ranked first by per capita income, third by population density.",/images/catalog/248-san-francisco-earthquake-1906.jpg,#SanFrancisco #Earthquake #Disaster #HistoryTok,Three minutes. Three days of fire. #SanFrancisco #Earthquake #Disaster #HistoryTok,Unknown author Unknown author · CC0,https://commons.wikimedia.org/wiki/File:1906_San_Francisco_earthquake.jpg
249,Great Lisbon Earthquake,"Church on a HOLY day. 60,000 dead.","Create a 30-second vertical history short about Great Lisbon Earthquake. Hook: Church on a HOLY day. 60,000 dead. Cover: November 1 1755 All Saints Day magnitude 8.5-9. Tsunami followed earthquake — a key part of the story of Great Lisbon Earthquake. Estimated 60,000-100,000 deaths — a key part of the story of Great Lisbon Earthquake. Philosophers questioned God's role Voltaire wrote Candide — a key part of the story of Great Lisbon Earthquake. Rebuilt city with first earthquake-resistant design — a key part of the story of Great Lisbon Earthquake. Church full on holy day. Earth shook. The events surrounding Great Lisbon Earthquake reveal how quickly history can turn on a single decision. From classrooms to documentaries, Great Lisbon Earthquake remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","November 1, 1755 All Saints Day magnitude 8.5-9. | Estimated 60,000-100,000 deaths. | Philosophers questioned God's role Voltaire wrote Candide. | Rebuilt city with first earthquake-resistant design. | Church full on holy day. Earth shook. | Chronologically, it was the third known large-scale earthquake to hit the city. | A further 10,000 may have died in Morocco. | In combination with subsequent fires and a tsunami, the earthquake almost completely destroyed Lisbon and adjoining areas. | The event was widely discussed and dwelt upon by European Enlightenment philosophers, and inspired major developments in theodicy. | Great Lisbon Earthquake is usually dated to 1755. | Contemporary reports still describe Great Lisbon Earthquake. | Later histories kept returning to Great Lisbon Earthquake.",/images/catalog/249-great-lisbon-earthquake.jpg,#Lisbon #Earthquake #Disaster #HistoryTok,Church full on holy day. Earth shook. #Lisbon #Earthquake #Disaster #HistoryTok,Unknown author Unknown author · Public domain,https://commons.wikimedia.org/wiki/File:1755_Lisbon_earthquake.jpg
250,Tunguska Event,600 miles of forest FLATTENED.,"Create a 30-second vertical history short about Tunguska Event. Hook: 600 miles of forest FLATTENED. Cover: Massive explosion June 30 1908 Siberia — a key part of the story of Tunguska Event. Flattened 800 square miles of forest — a key part of the story of Tunguska Event. Estimated 1,000 times Hiroshima blast power — a key part of the story of Tunguska Event. No crater found likely airburst meteor — a key part of the story of Tunguska Event. Largest impact event in recorded history — a key part of the story of Tunguska Event. 600 miles of forest. No crater. What hit?. The events surrounding Tunguska Event reveal how quickly history can turn on a single decision. From classrooms to documentaries, Tunguska Event remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Massive explosion June 30, 1908 Siberia. | Flattened 800 square miles of forest. | Estimated 1,000 times Hiroshima blast power. | No crater found likely airburst meteor. | Largest impact event in recorded history. | The explosion is attributed to a meteor air burst, the atmospheric explosion of a stony asteroid about 50–60 m wide. | The asteroid approached from the east-south-east, probably with a relatively high speed of about 27 km/s. | An explosion of the Tunguska magnitude would be capable of destroying a large metropolitan area. | The explosion over the sparsely populated East Siberian taiga felled a large number of trees, over an area of 2,150 km2 of forest. | Tunguska Event is usually dated to 1908. | Contemporary reports still describe Tunguska Event. | Later histories kept returning to Tunguska Event.",/images/catalog/250-tunguska-event.jpg,#Tunguska #Meteor #WeirdHistory #HistoryTok,600 miles of forest. No crater. What hit? #Tunguska #Meteor #WeirdHistory #HistoryTok,"Leonid Kulik, the expedition to the Tunguska event · Public domain",https://commons.wikimedia.org/wiki/File:Tunguska_Ereignis-1.jpg
251,Triangle Shirtwaist Fire,146 workers. Doors LOCKED.,"Create a 30-second vertical history short about Triangle Shirtwaist Fire. Hook: 146 workers. Doors LOCKED. Cover: Factory fire March 25 1911 New York City. 146 garment workers mostly young women died — a key part of the story of Triangle Shirtwaist Fire. Exit doors locked to prevent theft — a key part of the story of Triangle Shirtwaist Fire. Jumped from windows to escape flames — a key part of the story of Triangle Shirtwaist Fire. Sparked labor reform and fire safety laws — a key part of the story of Triangle Shirtwaist Fire. 146 dead. Doors locked. Reform followed. The events surrounding Triangle Shirtwaist Fire reveal how quickly history can turn on a single decision. From classrooms to documentaries, Triangle Shirtwaist Fire remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Factory fire March 25, 1911 New York City. | 146 garment workers mostly young women died. | Exit doors locked to prevent theft. | Jumped from windows to escape flames. | Sparked labor reform and fire safety laws. | Most of the victims were recent Italian and Jewish immigrants aged 14 to 23. | The factory was located on the 8th, 9th, and 10th floors of the Asch Building. | The fire was the deadliest industrial disaster in the history of the city, and one of the deadliest in U.S. history. | The building has been designated a National Historic Landmark and a New York City landmark. | There were no sprinklers in the building. | Triangle Shirtwaist Fire is usually dated to 1911. | Contemporary reports still describe Triangle Shirtwaist Fire.",/images/catalog/251-triangle-shirtwaist-fire.jpg,#TriangleFire #LaborHistory #NewYork #HistoryMatters,146 dead. Doors locked. Reform followed. #TriangleFire #LaborHistory #NewYork #HistoryMatters,Unknown author Unknown author · Public domain,https://commons.wikimedia.org/wiki/File:Image_of_Triangle_Shirtwaist_Factory_fire_on_March_25_-_1911.jpg
252,Halifax Explosion,Biggest man-made blast BEFORE nukes.,"Create a 30-second vertical history short about Halifax Explosion. Hook: Biggest man-made blast BEFORE nukes. Cover: December 6 1917 Halifax Nova Scotia — a key part of the story of Halifax Explosion. Ship collision ignited munitions cargo — a key part of the story of Halifax Explosion. Largest man-made explosion before atomic age — a key part of the story of Halifax Explosion. Estimated 2,000 killed 9,000 injured — a key part of the story of Halifax Explosion. Boston sent immediate medical aid — a key part of the story of Halifax Explosion. Biggest blast before the bomb. The events surrounding Halifax Explosion reveal how quickly history can turn on a single decision. From classrooms to documentaries, Halifax Explosion remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","December 6, 1917 Halifax Nova Scotia. | Ship collision ignited munitions cargo. | Largest man-made explosion before atomic age. | Estimated 2,000 killed 9,000 injured. | Boston sent immediate medical aid. | Biggest blast before the bomb. | The blast was the largest human-made explosion at the time. | Mont-Blanc was under orders from the French government to carry her cargo from New York City via Halifax to Bordeaux, France. | Halifax Explosion is usually dated to 1917. | Contemporary reports still describe Halifax Explosion. | Later histories kept returning to Halifax Explosion. | Surviving photographs still illustrate Halifax Explosion.",/images/catalog/252-halifax-explosion.jpg,#Halifax #Explosion #Canada #HistoryTok,Biggest blast before the bomb. #Halifax #Explosion #Canada #HistoryTok,Unknown author Unknown author · Public domain,https://commons.wikimedia.org/wiki/File:Halifax_Explosion_blast_cloud_restored.jpg
253,Spanish Flu Pandemic,50 million dead. Forgotten PANDEMIC.,"Create a 30-second vertical history short about Spanish Flu Pandemic. Hook: 50 million dead. Forgotten PANDEMIC. Cover: 1918-1920 killed estimated 50-100 million worldwide — a key part of the story of Spanish Flu Pandemic. More deadly than WWI which it overlapped — a key part of the story of Spanish Flu Pandemic. Killed healthy young adults unusually — a key part of the story of Spanish Flu Pandemic. No vaccine no effective treatment — a key part of the story of Spanish Flu Pandemic. Origin still debated Kansas China or elsewhere — a key part of the story of Spanish Flu Pandemic. 50 million dead. History forgot. The events surrounding Spanish Flu Pandemic reveal how quickly history can turn on a single decision. From classrooms to documentaries, Spanish Flu Pandemic remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","1918-1920 killed estimated 50-100 million worldwide. | More deadly than WWI which it overlapped. | Killed healthy young adults unusually. | No vaccine no effective treatment. | Origin still debated Kansas China or elsewhere. | 50 million dead. History forgot. | The 1918–1920 flu pandemic was an exceptionally deadly global influenza pandemic caused by the H1N1 subtype of the influenza A virus. | Two years later, nearly a third of the global population, or an estimated 500 million people, had been infected. | Spanish Flu Pandemic is usually dated to 1918. | Another date tied to Spanish Flu Pandemic is 1920. | Contemporary reports still describe Spanish Flu Pandemic. | Later histories kept returning to Spanish Flu Pandemic.",/images/catalog/253-spanish-flu-pandemic.jpg,#SpanishFlu #Pandemic #1918 #HistoryTok,50 million dead. History forgot. #SpanishFlu #Pandemic #1918 #HistoryTok,"Otis Historical Archives, National Museum of Health and Medicine · Public domain",https://commons.wikimedia.org/wiki/File:Emergency_hospital_during_Influenza_epidemic%2C_Camp_Funston%2C_Kansas_-_NCP_1603.jpg
254,AIDS Crisis,Silent epidemic. Millions DEAD.,"Create a 30-second vertical history short about AIDS Crisis. Hook: Silent epidemic. Millions DEAD. Cover: First identified 1981 among gay men in US. Killed estimated 40 million worldwide — a key part of the story of AIDS Crisis. Initial government response was shamefully slow — a key part of the story of AIDS Crisis. ACT UP activists forced change — a key part of the story of AIDS Crisis. Transformative antiretroviral drugs arrived 1996 — a key part of the story of AIDS Crisis. 40 million dead. Silence killed. The events surrounding AIDS Crisis reveal how quickly history can turn on a single decision. From classrooms to documentaries, AIDS Crisis remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","First identified 1981 among gay men in US. | Killed estimated 40 million worldwide. | Initial government response was shamefully slow. | ACT UP activists forced change. | Transformative antiretroviral drugs arrived 1996. | 40 million dead. Silence killed. | The global pandemic of HIV/AIDS began in 1981, and is an ongoing worldwide public health issue. | According to the World Health Organization, by 2023, HIV/AIDS had killed approximately 40.4 million people. | There were about 630,000 deaths from HIV/AIDS in 2022. | As of 2023, there are about 1.3 million new infections of HIV per year globally. | Incidence of HIV has continued to fall, decreasing by 23% from 2010 to 2020, with progress dominated by decreases in Eastern Africa and Southern Africa. | Of these, 29.8 million people are receiving antiretroviral treatment.",/images/catalog/254-aids-crisis.png,#AIDS #PublicHealth #LGBTQHistory #HistoryMatters,40 million dead. Silence killed. #AIDS #PublicHealth #LGBTQHistory #HistoryMatters,Our world in data · CC BY 4.0,https://commons.wikimedia.org/wiki/File:World_map_of_HIV_prevalence%2C_2023.png
