topic_number,title,hook,video_prompt,on_screen_bullets,image_url,hashtags,caption
68,Peloponnesian War,Athens vs Sparta. Both LOST.,"Create a 30-second vertical history short about Peloponnesian War. Hook: Athens vs Sparta. Both LOST. Cover: 27-year conflict 431-404 BCE — a key part of the story of Peloponnesian War. Athens' empire vs Sparta's land power — a key part of the story of Peloponnesian War. Plague killed Pericles and weakened Athens — a key part of the story of Peloponnesian War. Sparta finally won with Persian gold — a key part of the story of Peloponnesian War. Destroyed golden age of Greek civilization — a key part of the story of Peloponnesian War. Two giants fought until both fell. Civilians and soldiers alike bore the devastating human cost of Peloponnesian War. The consequences of Peloponnesian War echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",27-year conflict 431-404 BCE — a key part of the story of Peloponnesian War. | Athens' empire vs Sparta's land power — a key part of the story of Peloponnesian War. | Plague killed Pericles and weakened Athens — a key part of the story of Peloponnesian War. | Sparta finally won with Persian gold — a key part of the story of Peloponnesian War. | Destroyed golden age of Greek civilization — a key part of the story of Peloponnesian War. | Two giants fought until both fell. | Civilians and soldiers alike bore the devastating human cost of Peloponnesian War. | The consequences of Peloponnesian War echoed for generations after the fighting stopped.,https://upload.wikimedia.org/wikipedia/commons/6/6a/Peloponnesian_war_alliances_431_BC.png,#PeloponnesianWar #AncientGreece #War #HistoryTok,Two giants fought until both fell. #PeloponnesianWar #AncientGreece #War #HistoryTok
69,Burning of Persepolis,Alexander burned the Persian capital.,"Create a 30-second vertical history short about Burning of Persepolis. Hook: Alexander burned the Persian capital. Cover: Alexander the Great entered Persepolis 330 BCE — a key part of the story of Burning of Persepolis. Legend says he burned palace in drunken rage. Ended Achaemenid Persian Empire — a key part of the story of Burning of Persepolis. Treasury looted wealth spread to army — a key part of the story of Burning of Persepolis. Symbol of Persian civilization destroyed — a key part of the story of Burning of Persepolis. One night of fire. Empire ended. The events surrounding Burning of Persepolis reveal how quickly history can turn on a single decision. From classrooms to documentaries, Burning of Persepolis remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Alexander the Great entered Persepolis 330 BCE — a key part of the story of Burning of Persepolis. | Legend says he burned palace in drunken rage. | Ended Achaemenid Persian Empire — a key part of the story of Burning of Persepolis. | Treasury looted wealth spread to army — a key part of the story of Burning of Persepolis. | Symbol of Persian civilization destroyed — a key part of the story of Burning of Persepolis. | One night of fire. Empire ended. | The events surrounding Burning of Persepolis reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Burning of Persepolis remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/5/5b/Persepolis_Triple_Gateway.jpg,#Persepolis #Persia #AlexanderTheGreat #HistoryTok,One night of fire. Empire ended. #Persepolis #Persia #AlexanderTheGreat #HistoryTok
70,Oracle Bones of China,"3,000-year-old questions to GHOSTS.","Create a 30-second vertical history short about Oracle Bones of China. Hook: 3,000-year-old questions to GHOSTS. Cover: Shang Dynasty divination circa 1200 BCE — a key part of the story of Oracle Bones of China. Questions carved on ox scapula and turtle shells. Heat applied until bones cracked for answers — a key part of the story of Oracle Bones of China. Earliest confirmed Chinese writing survives — a key part of the story of Oracle Bones of China. Asked about war harvests and royal health — a key part of the story of Oracle Bones of China. They asked bones about the future. The events surrounding Oracle Bones of China reveal how quickly history can turn on a single decision. From classrooms to documentaries, Oracle Bones of China remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Shang Dynasty divination circa 1200 BCE — a key part of the story of Oracle Bones of China. | Questions carved on ox scapula and turtle shells. | Heat applied until bones cracked for answers — a key part of the story of Oracle Bones of China. | Earliest confirmed Chinese writing survives — a key part of the story of Oracle Bones of China. | Asked about war harvests and royal health — a key part of the story of Oracle Bones of China. | They asked bones about the future. | The events surrounding Oracle Bones of China reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Oracle Bones of China remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4a/Oracle_bone_sample.svg,#OracleBones #AncientChina #Archaeology #HistoryTok,They asked bones about the future. #OracleBones #AncientChina #Archaeology #HistoryTok
71,Black Death,Half of Europe. DEAD in 4 years.,"Create a 30-second vertical history short about Black Death. Hook: Half of Europe. DEAD in 4 years. Cover: Pandemic 1347-1351 via fleas on rats — a key part of the story of Black Death. Killed 30-60 percent of Europe's population — a key part of the story of Black Death. Flagellants whipped themselves seeking mercy — a key part of the story of Black Death. Jews falsely blamed and massacred — a key part of the story of Black Death. Labor shortages eventually weakened feudalism — a key part of the story of Black Death. Half of Europe gone in four years. The events surrounding Black Death reveal how quickly history can turn on a single decision. From classrooms to documentaries, Black Death remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Pandemic 1347-1351 via fleas on rats — a key part of the story of Black Death. | Killed 30-60 percent of Europe's population — a key part of the story of Black Death. | Flagellants whipped themselves seeking mercy — a key part of the story of Black Death. | Jews falsely blamed and massacred — a key part of the story of Black Death. | Labor shortages eventually weakened feudalism — a key part of the story of Black Death. | Half of Europe gone in four years. | The events surrounding Black Death reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Black Death remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/9/9b/The_plague_Danse_Macabre.jpg,#BlackDeath #Medieval #Plague #HistoryTok,Half of Europe gone in four years. #BlackDeath #Medieval #Plague #HistoryTok
72,The Crusades,200 years. 9 wars. Holy LAND.,"Create a 30-second vertical history short about The Crusades. Hook: 200 years. 9 wars. Holy LAND. Cover: Series of religious wars 1095-1291 — a key part of the story of The Crusades. Pope Urban II called First Crusade 1095 — a key part of the story of The Crusades. Christians Muslims and Jews all suffered — a key part of the story of The Crusades. Captured Jerusalem then lost it again — a key part of the story of The Crusades. Legacy of mistrust echoes today — a key part of the story of The Crusades. 200 years of holy war. Who won?. The events surrounding The Crusades reveal how quickly history can turn on a single decision. From classrooms to documentaries, The Crusades remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Series of religious wars 1095-1291 — a key part of the story of The Crusades. | Pope Urban II called First Crusade 1095 — a key part of the story of The Crusades. | Christians Muslims and Jews all suffered — a key part of the story of The Crusades. | Captured Jerusalem then lost it again — a key part of the story of The Crusades. | Legacy of mistrust echoes today — a key part of the story of The Crusades. | 200 years of holy war. Who won?. | The events surrounding The Crusades reveal how quickly history can turn on a single decision. | From classrooms to documentaries, The Crusades remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/6/6a/SiegeofAntioch.jpeg,#Crusades #Medieval #ReligiousWar #HistoryTok,200 years of holy war. Who won? #Crusades #Medieval #ReligiousWar #HistoryTok
73,Genghis Khan,40 million dead. Largest empire EVER.,"Create a 30-second vertical history short about Genghis Khan. Hook: 40 million dead. Largest empire EVER. Cover: Founded Mongol Empire 1206 — a key part of the story of Genghis Khan. Conquered more land than anyone in history — a key part of the story of Genghis Khan. Yasa legal code and postal relay system — a key part of the story of Genghis Khan. Religious tolerance across vast empire — a key part of the story of Genghis Khan. DNA study suggests 16 million male descendants — a key part of the story of Genghis Khan. One man. Largest land empire ever. The events surrounding Genghis Khan reveal how quickly history can turn on a single decision. From classrooms to documentaries, Genghis Khan remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Founded Mongol Empire 1206 — a key part of the story of Genghis Khan. | Conquered more land than anyone in history — a key part of the story of Genghis Khan. | Yasa legal code and postal relay system — a key part of the story of Genghis Khan. | Religious tolerance across vast empire — a key part of the story of Genghis Khan. | DNA study suggests 16 million male descendants — a key part of the story of Genghis Khan. | One man. Largest land empire ever. | The events surrounding Genghis Khan reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Genghis Khan remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/3/35/YuanEmperorAlbumGenghisPortrait.jpg,#GenghisKhan #Mongols #Empire #HistoryTok,One man. Largest land empire ever. #GenghisKhan #Mongols #Empire #HistoryTok
74,Joan of Arc,Teen girl. Led an ARMY.,"Create a 30-second vertical history short about Joan of Arc. Hook: Teen girl. Led an ARMY. Cover: Peasant girl born 1412 in Domremy France — a key part of the story of Joan of Arc. Heard voices telling her to save France — a key part of the story of Joan of Arc. Led French army to lift Siege of Orleans. Captured burned at stake age 19 in 1431. Canonized as saint 1920 nearly 500 years later. 19 years old. Burned for hearing voices. The events surrounding Joan of Arc reveal how quickly history can turn on a single decision. From classrooms to documentaries, Joan of Arc remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Peasant girl born 1412 in Domremy France — a key part of the story of Joan of Arc. | Heard voices telling her to save France — a key part of the story of Joan of Arc. | Led French army to lift Siege of Orleans. | Captured burned at stake age 19 in 1431. | Canonized as saint 1920 nearly 500 years later. | 19 years old. Burned for hearing voices. | The events surrounding Joan of Arc reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Joan of Arc remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/0/0a/Joan_of_Arc_miniature_graded.jpg,#JoanOfArc #Medieval #France #HistoryTok,19 years old. Burned for hearing voices. #JoanOfArc #Medieval #France #HistoryTok
75,Magna Carta,A king forced to SIGN his power away.,"Create a 30-second vertical history short about Magna Carta. Hook: A king forced to SIGN his power away. Cover: Signed June 15 1215 at Runnymede England — a key part of the story of Magna Carta. King John forced by rebellious barons — a key part of the story of Magna Carta. Limited royal power and protected feudal rights — a key part of the story of Magna Carta. Foundation of constitutional law worldwide — a key part of the story of Magna Carta. Only three clauses still valid in UK law. Kings are not above the law. The events surrounding Magna Carta reveal how quickly history can turn on a single decision. From classrooms to documentaries, Magna Carta remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Signed June 15 1215 at Runnymede England — a key part of the story of Magna Carta. | King John forced by rebellious barons — a key part of the story of Magna Carta. | Limited royal power and protected feudal rights — a key part of the story of Magna Carta. | Foundation of constitutional law worldwide — a key part of the story of Magna Carta. | Only three clauses still valid in UK law. | Kings are not above the law. | The events surrounding Magna Carta reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Magna Carta remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/5/5e/Magna_Carta_%28British_Library_Cotton_MS_Augustus_II.106%29.jpg,#MagnaCarta #Medieval #Law #HistoryFacts,Kings are not above the law. #MagnaCarta #Medieval #Law #HistoryFacts
76,Viking Age,They hit England. Then LEFT.,"Create a 30-second vertical history short about Viking Age. Hook: They hit England. Then LEFT. Cover: Raided and traded 793-1066 CE — a key part of the story of Viking Age. Lindisfarne monastery raid 793 started the era — a key part of the story of Viking Age. Explored North America via Greenland — a key part of the story of Viking Age. Settled Iceland Normandy and Russia — a key part of the story of Viking Age. Warriors traders and craftsmen feared across Europe — a key part of the story of Viking Age. They came from the sea. Then vanished. The events surrounding Viking Age reveal how quickly history can turn on a single decision. From classrooms to documentaries, Viking Age remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Raided and traded 793-1066 CE — a key part of the story of Viking Age. | Lindisfarne monastery raid 793 started the era — a key part of the story of Viking Age. | Explored North America via Greenland — a key part of the story of Viking Age. | Settled Iceland Normandy and Russia — a key part of the story of Viking Age. | Warriors traders and craftsmen feared across Europe — a key part of the story of Viking Age. | They came from the sea. Then vanished. | The events surrounding Viking Age reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Viking Age remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/7/7e/Viking_Ship_Museum_Oslo.jpg,#Vikings #Medieval #NorseHistory #HistoryTok,They came from the sea. Then vanished. #Vikings #Medieval #NorseHistory #HistoryTok
77,Marco Polo in China,24 years in China. Europe couldn't BELIEVE it.,"Create a 30-second vertical history short about Marco Polo in China. Hook: 24 years in China. Europe couldn't BELIEVE it. Cover: Left Venice 1271 age 17 with father and uncle. Spent 17 years in Kublai Khan's court — a key part of the story of Marco Polo in China. Described paper money and coal to Europeans — a key part of the story of Marco Polo in China. Book The Travels inspired Columbus — a key part of the story of Marco Polo in China. Some scholars debate if he went at all. Europe thought he made it all up. The events surrounding Marco Polo in China reveal how quickly history can turn on a single decision. From classrooms to documentaries, Marco Polo in China remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Left Venice 1271 age 17 with father and uncle. | Spent 17 years in Kublai Khan's court — a key part of the story of Marco Polo in China. | Described paper money and coal to Europeans — a key part of the story of Marco Polo in China. | Book The Travels inspired Columbus — a key part of the story of Marco Polo in China. | Some scholars debate if he went at all. | Europe thought he made it all up. | The events surrounding Marco Polo in China reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Marco Polo in China remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/0/03/Marco_Polo_portrait.jpg,#MarcoPolo #Medieval #Exploration #HistoryTok,Europe thought he made it all up. #MarcoPolo #Medieval #Exploration #HistoryTok
78,Battle of Hastings,One arrow. England CHANGED forever.,"Create a 30-second vertical history short about Battle of Hastings. Hook: One arrow. England CHANGED forever. Cover: Fought October 14 1066 in England — a key part of the story of Battle of Hastings. William Duke of Normandy vs King Harold — a key part of the story of Battle of Hastings. Harold allegedly killed by arrow to the eye. Norman Conquest transformed English language — a key part of the story of Battle of Hastings. Bayeux Tapestry depicts the battle — a key part of the story of Battle of Hastings. One battle. English forever changed. The outcome of Battle of Hastings reshaped borders, rulers, and the balance of power. Military academies and historians still analyze the tactics and decisions of Battle of Hastings. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Fought October 14 1066 in England — a key part of the story of Battle of Hastings. | William Duke of Normandy vs King Harold — a key part of the story of Battle of Hastings. | Harold allegedly killed by arrow to the eye. | Norman Conquest transformed English language — a key part of the story of Battle of Hastings. | Bayeux Tapestry depicts the battle — a key part of the story of Battle of Hastings. | One battle. English forever changed. | The outcome of Battle of Hastings reshaped borders, rulers, and the balance of power. | Military academies and historians still analyze the tactics and decisions of Battle of Hastings.",https://upload.wikimedia.org/wikipedia/commons/b/bb/Bayeux_Tapestry_scene57_Harold_death.jpg,#Hastings #1066 #BritishHistory #HistoryTok,One battle. English forever changed. #Hastings #1066 #BritishHistory #HistoryTok
79,Gutenberg Printing Press,One invention. Knowledge EXPLODED.,"Create a 30-second vertical history short about Gutenberg Printing Press. Hook: One invention. Knowledge EXPLODED. Cover: Johannes Gutenberg printed Bible circa 1455 — a key part of the story of Gutenberg Printing Press. Movable type revolutionized book production — a key part of the story of Gutenberg Printing Press. Books went from luxury to mass commodity — a key part of the story of Gutenberg Printing Press. Enabled Reformation Scientific Revolution — a key part of the story of Gutenberg Printing Press. Most important invention of second millennium — a key part of the story of Gutenberg Printing Press. Before this most people never read a book. The events surrounding Gutenberg Printing Press reveal how quickly history can turn on a single decision. From classrooms to documentaries, Gutenberg Printing Press remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Johannes Gutenberg printed Bible circa 1455 — a key part of the story of Gutenberg Printing Press. | Movable type revolutionized book production — a key part of the story of Gutenberg Printing Press. | Books went from luxury to mass commodity — a key part of the story of Gutenberg Printing Press. | Enabled Reformation Scientific Revolution — a key part of the story of Gutenberg Printing Press. | Most important invention of second millennium — a key part of the story of Gutenberg Printing Press. | Before this most people never read a book. | The events surrounding Gutenberg Printing Press reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Gutenberg Printing Press remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/3/33/Gutenberg_Bible.jpg,#Gutenberg #PrintingPress #Medieval #HistoryTok,Before this most people never read a book. #Gutenberg #PrintingPress #Medieval #HistoryTok
80,Charlemagne,King of the Franks. Father of EUROPE.,"Create a 30-second vertical history short about Charlemagne. Hook: King of the Franks. Father of EUROPE. Cover: Crowned Holy Roman Emperor 800 CE — a key part of the story of Charlemagne. United much of Western Europe by conquest — a key part of the story of Charlemagne. Promoted education Carolingian Renaissance — a key part of the story of Charlemagne. Standardized currency and weights — a key part of the story of Charlemagne. French and German nations trace roots to him. He tried to rebuild the Roman Empire. The events surrounding Charlemagne reveal how quickly history can turn on a single decision. From classrooms to documentaries, Charlemagne remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Crowned Holy Roman Emperor 800 CE — a key part of the story of Charlemagne. | United much of Western Europe by conquest — a key part of the story of Charlemagne. | Promoted education Carolingian Renaissance — a key part of the story of Charlemagne. | Standardized currency and weights — a key part of the story of Charlemagne. | French and German nations trace roots to him. | He tried to rebuild the Roman Empire. | The events surrounding Charlemagne reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Charlemagne remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/8/8e/Charlemagne_denier_Mayence_812_814.jpg,#Charlemagne #Medieval #Europe #HistoryTok,He tried to rebuild the Roman Empire. #Charlemagne #Medieval #Europe #HistoryTok
81,Fall of Constantinople,"1,000-year empire. Gone in 53 DAYS.","Create a 30-second vertical history short about Fall of Constantinople. Hook: 1,000-year empire. Gone in 53 DAYS. Cover: Ottoman Sultan Mehmed II besieged 1453 — a key part of the story of Fall of Constantinople. Byzantine Empire's capital finally fell May 29 — a key part of the story of Fall of Constantinople. Giant cannons breached ancient Theodosian Walls — a key part of the story of Fall of Constantinople. Constantine XI died fighting on the walls — a key part of the story of Fall of Constantinople. End of Roman Empire after 1,500 years — a key part of the story of Fall of Constantinople. The last Roman emperor died on the walls. The events surrounding Fall of Constantinople reveal how quickly history can turn on a single decision. From classrooms to documentaries, Fall of Constantinople remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Ottoman Sultan Mehmed II besieged 1453 — a key part of the story of Fall of Constantinople. | Byzantine Empire's capital finally fell May 29 — a key part of the story of Fall of Constantinople. | Giant cannons breached ancient Theodosian Walls — a key part of the story of Fall of Constantinople. | Constantine XI died fighting on the walls — a key part of the story of Fall of Constantinople. | End of Roman Empire after 1,500 years — a key part of the story of Fall of Constantinople. | The last Roman emperor died on the walls. | The events surrounding Fall of Constantinople reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Fall of Constantinople remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/6/6c/Constantinople1453.jpg,#Constantinople #Byzantine #Ottoman #HistoryTok,The last Roman emperor died on the walls. #Constantinople #Byzantine #Ottoman #HistoryTok
82,Knights Templar,Warriors. Bankers. Then EXTERMINATED.,"Create a 30-second vertical history short about Knights Templar. Hook: Warriors. Bankers. Then EXTERMINATED. Cover: Founded 1119 to protect pilgrims in Holy Land. Became medieval Europe's first international bankers — a key part of the story of Knights Templar. Invented early forms of cheques and credit — a key part of the story of Knights Templar. King Philip IV arrested and tortured them 1307. Friday the 13th 1307 mass arrests became legend. They invented banking. Then kings killed them. The events surrounding Knights Templar reveal how quickly history can turn on a single decision. From classrooms to documentaries, Knights Templar remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Founded 1119 to protect pilgrims in Holy Land. | Became medieval Europe's first international bankers — a key part of the story of Knights Templar. | Invented early forms of cheques and credit — a key part of the story of Knights Templar. | King Philip IV arrested and tortured them 1307. | Friday the 13th 1307 mass arrests became legend. | They invented banking. Then kings killed them. | The events surrounding Knights Templar reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Knights Templar remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/3/30/Templars_on_St_Bernard%27s_seal.jpg,#KnightsTemplar #Medieval #SecretHistory #HistoryTok,They invented banking. Then kings killed them. #KnightsTemplar #Medieval #SecretHistory #HistoryTok
83,Hundred Years War,116 years. One teenager with a SWORD.,"Create a 30-second vertical history short about Hundred Years War. Hook: 116 years. One teenager with a SWORD. Cover: England vs France 1337-1453 — a key part of the story of Hundred Years War. Joan of Arc turned tide for France — a key part of the story of Hundred Years War. Longbow changed medieval warfare forever — a key part of the story of Hundred Years War. Black Prince and Henry V won famous victories. Actually lasted 116 years with long truces — a key part of the story of Hundred Years War. 116 years. One war. One legend. Civilians and soldiers alike bore the devastating human cost of Hundred Years War. The consequences of Hundred Years War echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",England vs France 1337-1453 — a key part of the story of Hundred Years War. | Joan of Arc turned tide for France — a key part of the story of Hundred Years War. | Longbow changed medieval warfare forever — a key part of the story of Hundred Years War. | Black Prince and Henry V won famous victories. | Actually lasted 116 years with long truces — a key part of the story of Hundred Years War. | 116 years. One war. One legend. | Civilians and soldiers alike bore the devastating human cost of Hundred Years War. | The consequences of Hundred Years War echoed for generations after the fighting stopped.,https://upload.wikimedia.org/wikipedia/commons/4/4e/Hundred_years_war_collage.jpg,#HundredYearsWar #Medieval #MilitaryHistory #HistoryTok,116 years. One war. One legend. #HundredYearsWar #Medieval #MilitaryHistory #HistoryTok
84,Spanish Inquisition,Nobody expected it.,"Create a 30-second vertical history short about Spanish Inquisition. Hook: Nobody expected it. Cover: Established 1478 by Ferdinand and Isabella — a key part of the story of Spanish Inquisition. Targeted converted Jews and Muslims suspected of heresy. Torture used to extract confessions — a key part of the story of Spanish Inquisition. Auto-da-fe public burnings terrified population — a key part of the story of Spanish Inquisition. Not as deadly as myth but created lasting fear. Nobody expected it. Everyone feared it. The events surrounding Spanish Inquisition reveal how quickly history can turn on a single decision. From classrooms to documentaries, Spanish Inquisition remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Established 1478 by Ferdinand and Isabella — a key part of the story of Spanish Inquisition. | Targeted converted Jews and Muslims suspected of heresy. | Torture used to extract confessions — a key part of the story of Spanish Inquisition. | Auto-da-fe public burnings terrified population — a key part of the story of Spanish Inquisition. | Not as deadly as myth but created lasting fear. | Nobody expected it. Everyone feared it. | The events surrounding Spanish Inquisition reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Spanish Inquisition remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4a/Auto_de_f%C3%A9%2C_by_Pedro_Berruguete.jpg,#SpanishInquisition #Medieval #Religion #HistoryTok,Nobody expected it. Everyone feared it. #SpanishInquisition #Medieval #Religion #HistoryTok
85,Viking Discovery of America,500 years BEFORE Columbus.,"Create a 30-second vertical history short about Viking Discovery of America. Hook: 500 years BEFORE Columbus. Cover: Leif Erikson reached North America circa 1000 CE. Land called Vinland in Norse sagas — a key part of the story of Viking Discovery of America. Archaeological site L'Anse aux Meadows confirmed — a key part of the story of Viking Discovery of America. Settlement in Newfoundland Canada — a key part of the story of Viking Discovery of America. Abandoned after conflicts with indigenous peoples — a key part of the story of Viking Discovery of America. Columbus was 500 years late. The discovery behind Viking Discovery of America opened entirely new fields of science and medicine. Researchers today still extend the breakthrough that began with Viking Discovery of America. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",Leif Erikson reached North America circa 1000 CE. | Land called Vinland in Norse sagas — a key part of the story of Viking Discovery of America. | Archaeological site L'Anse aux Meadows confirmed — a key part of the story of Viking Discovery of America. | Settlement in Newfoundland Canada — a key part of the story of Viking Discovery of America. | Abandoned after conflicts with indigenous peoples — a key part of the story of Viking Discovery of America. | Columbus was 500 years late. | The discovery behind Viking Discovery of America opened entirely new fields of science and medicine. | Researchers today still extend the breakthrough that began with Viking Discovery of America.,https://upload.wikimedia.org/wikipedia/commons/4/4e/L%27Anse_aux_Meadows%2C_recreated_long_house.jpg,#Vikings #Vinland #Exploration #HistoryTok,Columbus was 500 years late. #Vikings #Vinland #Exploration #HistoryTok
86,Siege of Orleans,Joan's first victory. France REBORN.,"Create a 30-second vertical history short about Siege of Orleans. Hook: Joan's first victory. France REBORN. Cover: English besieged Orleans October 1428 — a key part of the story of Siege of Orleans. Joan of Arc arrived April 1429 — a key part of the story of Siege of Orleans. Rallied French troops to break siege May 8. Turning point of Hundred Years War — a key part of the story of Siege of Orleans. Made Joan national hero and saint — a key part of the story of Siege of Orleans. One siege. One girl. France saved. Civilians and soldiers alike bore the devastating human cost of Siege of Orleans. The consequences of Siege of Orleans echoed for generations after the fighting stopped. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.",English besieged Orleans October 1428 — a key part of the story of Siege of Orleans. | Joan of Arc arrived April 1429 — a key part of the story of Siege of Orleans. | Rallied French troops to break siege May 8. | Turning point of Hundred Years War — a key part of the story of Siege of Orleans. | Made Joan national hero and saint — a key part of the story of Siege of Orleans. | One siege. One girl. France saved. | Civilians and soldiers alike bore the devastating human cost of Siege of Orleans. | The consequences of Siege of Orleans echoed for generations after the fighting stopped.,https://upload.wikimedia.org/wikipedia/commons/5/5e/Siege_of_Orleans_%281429%29.jpg,#Orleans #JoanOfArc #Medieval #HistoryTok,One siege. One girl. France saved. #Orleans #JoanOfArc #Medieval #HistoryTok
87,Domesday Book,1086 census. Every cow COUNTED.,"Create a 30-second vertical history short about Domesday Book. Hook: 1086 census. Every cow COUNTED. Cover: William the Conqueror ordered survey 1086 — a key part of the story of Domesday Book. Recorded land ownership across England — a key part of the story of Domesday Book. Named after Judgment Day doom — a key part of the story of Domesday Book. Most complete medieval census in Europe — a key part of the story of Domesday Book. Still referenced in modern property disputes — a key part of the story of Domesday Book. Every field. Every cow. Every person. The events surrounding Domesday Book reveal how quickly history can turn on a single decision. From classrooms to documentaries, Domesday Book remains a staple of history storytelling. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","William the Conqueror ordered survey 1086 — a key part of the story of Domesday Book. | Recorded land ownership across England — a key part of the story of Domesday Book. | Named after Judgment Day doom — a key part of the story of Domesday Book. | Most complete medieval census in Europe — a key part of the story of Domesday Book. | Still referenced in modern property disputes — a key part of the story of Domesday Book. | Every field. Every cow. Every person. | The events surrounding Domesday Book reveal how quickly history can turn on a single decision. | From classrooms to documentaries, Domesday Book remains a staple of history storytelling.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Domesday_Book_-_Warwickshire.jpg,#DomesdayBook #Medieval #Britain #HistoryFacts,Every field. Every cow. Every person. #DomesdayBook #Medieval #Britain #HistoryFacts
88,Battle of Agincourt,English longbows vs French KNIGHTS.,"Create a 30-second vertical history short about Battle of Agincourt. Hook: English longbows vs French KNIGHTS. Cover: Fought October 25 1415 in France — a key part of the story of Battle of Agincourt. Henry V's outnumbered army won decisively — a key part of the story of Battle of Agincourt. Longbowmen devastated French knights in mud — a key part of the story of Battle of Agincourt. French lost thousands of noblemen — a key part of the story of Battle of Agincourt. Immortalized by Shakespeare's Henry V — a key part of the story of Battle of Agincourt. Mud. Arrows. A king's glory. The outcome of Battle of Agincourt reshaped borders, rulers, and the balance of power. Military academies and historians still analyze the tactics and decisions of Battle of Agincourt. Tone: dramatic, fast-paced, documentary style. 9:16 vertical.","Fought October 25 1415 in France — a key part of the story of Battle of Agincourt. | Henry V's outnumbered army won decisively — a key part of the story of Battle of Agincourt. | Longbowmen devastated French knights in mud — a key part of the story of Battle of Agincourt. | French lost thousands of noblemen — a key part of the story of Battle of Agincourt. | Immortalized by Shakespeare's Henry V — a key part of the story of Battle of Agincourt. | Mud. Arrows. A king's glory. | The outcome of Battle of Agincourt reshaped borders, rulers, and the balance of power. | Military academies and historians still analyze the tactics and decisions of Battle of Agincourt.",https://upload.wikimedia.org/wikipedia/commons/3/3a/Battle_of_Agincourt%2C_St_Albans_Chronicle.jpg,#Agincourt #Medieval #MilitaryHistory #HistoryTok,Mud. Arrows. A king's glory. #Agincourt #Medieval #MilitaryHistory #HistoryTok
